time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-01-13 07:57:33.660000+00:00,38.83433,-122.80683,1.664,0.17,d,19,52.0,1.0,0.04,NC,71509445,2011-01-13T22:18:05.000Z,"Cobb, CA",eq,0.22,0.43,0.13,2,F,NC,NC
2011-01-13 13:02:29.890000+00:00,38.80833,-122.7435,1.645,0.86,d,6,106.0,3.0,0.01,NC,71509490,2011-01-13T13:04:06.000Z,"Cobb, CA",eq,0.62,1.12,0.0,6,A,NC,NC
2011-01-13 18:12:29.770000+00:00,38.8365,-122.79833,1.414,0.69,d,6,126.0,1.0,0.02,NC,71509610,2011-01-13T18:14:05.000Z,"Cobb, CA",eq,0.47,0.9,0.26,8,A,NC,NC
2011-01-13 23:43:38.950000+00:00,38.837,-122.8085,-0.873,0.46,d,8,78.0,2.0,0.04,NC,71509670,2011-01-13T23:45:11.000Z,"Cobb, CA",eq,0.24,0.81,0.1,9,A,NC,NC
2011-01-14 00:45:00.620000+00:00,38.8395,-122.828,1.192,0.18,d,8,79.0,1.0,0.03,NC,71509710,2011-01-14T00:46:36.000Z,"Cobb, CA",eq,0.43,0.75,0.1,8,A,NC,NC
2011-01-14 00:57:19.980000+00:00,38.84367,-122.82784,1.889,1.53,d,61,57.0,1.0,0.06,NC,71509715,2011-01-14T02:28:52.000Z,"Cobb, CA",eq,0.12,0.19,0.12,13,F,NC,NC
2011-01-14 02:34:16.680000+00:00,38.82333,-122.7505,0.862,0.72,d,8,66.0,4.0,0.03,NC,71509735,2011-01-14T02:43:43.000Z,"Cobb, CA",eq,0.27,0.66,0.2,8,F,NC,NC
2011-01-14 02:56:36.750000+00:00,38.81283,-122.738,0.575,0.48,d,6,124.0,3.0,0.02,NC,71509740,2011-01-14T02:58:12.000Z,"Cobb, CA",eq,0.42,1.89,0.09,6,A,NC,NC
2011-01-14 03:43:02.150000+00:00,38.8355,-122.78433,0.989,0.45,d,9,162.0,1.0,0.04,NC,71509765,2011-01-14T03:44:36.000Z,"Cobb, CA",eq,0.45,0.32,0.09,10,A,NC,NC
2011-01-14 05:41:57.310000+00:00,38.83,-122.802,1.273,0.88,d,11,95.0,1.0,0.02,NC,71509800,2011-01-14T05:43:31.000Z,"Cobb, CA",eq,0.36,0.48,0.03,13,A,NC,NC
2011-01-14 08:06:04.040000+00:00,38.83533,-122.78584,1.356,0.88,d,10,142.0,2.0,0.04,NC,71509825,2011-01-14T08:07:36.000Z,"Cobb, CA",eq,0.34,0.59,0.08,11,A,NC,NC
2011-01-14 15:30:59.260000+00:00,38.83083,-122.793,1.843,1.13,d,40,42.0,1.0,0.06,NC,71509950,2011-01-14T21:04:53.000Z,"Cobb, CA",eq,0.16,0.21,0.12,8,F,NC,NC
2011-01-14 16:53:29.650000+00:00,38.83983,-122.82684,1.006,0.19,d,6,131.0,2.0,0.03,NC,71509965,2011-01-14T16:55:02.000Z,"Cobb, CA",eq,0.49,0.74,0.11,7,A,NC,NC
2011-01-14 16:57:10.470000+00:00,38.8325,-122.81216,0.527,0.38,d,9,74.0,1.0,0.02,NC,71509970,2011-01-14T16:58:47.000Z,"Cobb, CA",eq,0.34,0.54,0.12,9,A,NC,NC
